"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Jan-2015","EQ","158.95","162.40","154.05","158.25","159.75","158.70","158.51","177.15","135.25","4,094,370","649,015,149.00","22,613"
"29-Jan-2015","EQ","158.95","160.75","157.30","158.75","157.90","158.25","158.54","177.15","135.25","2,823,390","447,622,281.15","16,943"
"28-Jan-2015","EQ","158.80","159.90","157.65","159.40","158.45","158.75","158.62","177.15","135.25","1,819,031","288,536,623.85","10,775"
"27-Jan-2015","EQ","161.00","162.00","158.60","161.15","159.30","159.40","159.95","177.15","135.25","1,634,586","261,445,140.50","16,325"
"23-Jan-2015","EQ","159.15","162.15","156.90","158.85","160.50","161.15","159.70","177.15","135.25","2,437,301","389,241,451.70","15,494"
"22-Jan-2015","EQ","157.10","160.60","157.10","158.00","159.05","158.85","158.80","177.15","135.25","2,326,838","369,500,662.30","18,186"
"21-Jan-2015","EQ","157.40","159.40","156.65","156.35","158.00","158.00","158.11","177.15","135.25","2,696,995","426,426,689.85","19,549"
"20-Jan-2015","EQ","156.80","157.45","155.60","156.55","156.80","156.35","156.48","177.15","135.25","1,211,357","189,552,539.65","11,284"
"19-Jan-2015","EQ","154.30","157.80","154.30","154.30","156.40","156.55","156.32","177.15","135.25","1,000,172","156,351,706.85","7,495"
"16-Jan-2015","EQ","155.00","155.75","153.75","155.65","154.75","154.30","154.48","177.15","135.25","1,299,810","200,798,373.95","14,227"
"15-Jan-2015","EQ","156.60","157.60","154.05","154.85","155.15","155.65","156.10","177.15","135.25","1,183,917","184,809,794.00","14,749"
"14-Jan-2015","EQ","155.05","157.00","153.80","155.25","154.85","154.85","154.73","177.15","135.25","1,383,172","214,011,434.75","9,027"
"13-Jan-2015","EQ","157.55","157.90","154.20","157.35","155.40","155.25","155.12","177.15","135.25","1,558,189","241,713,765.30","8,690"
"12-Jan-2015","EQ","156.35","158.70","155.20","155.60","156.85","157.35","157.28","177.15","135.25","1,647,105","259,048,709.55","11,530"
"09-Jan-2015","EQ","154.50","157.70","153.30","153.70","155.10","155.60","155.10","177.15","135.25","4,013,444","622,483,018.80","24,558"
"08-Jan-2015","EQ","149.90","154.50","149.50","148.45","154.00","153.70","152.70","177.15","135.25","2,292,977","350,138,898.40","14,435"
"07-Jan-2015","EQ","147.20","149.20","146.00","148.15","148.55","148.45","147.66","177.15","135.25","2,770,541","409,098,920.50","11,069"
"06-Jan-2015","EQ","151.95","151.95","147.00","152.95","148.55","148.15","149.17","177.15","135.25","2,390,258","356,559,495.65","12,182"
"05-Jan-2015","EQ","151.65","154.50","151.65","152.50","153.15","152.95","153.03","177.15","135.25","1,873,161","286,656,179.80","9,788"
"02-Jan-2015","EQ","150.90","153.20","150.55","150.70","153.00","152.50","152.42","177.15","135.25","2,043,127","311,404,214.40","18,737"
"01-Jan-2015","EQ","150.95","151.75","150.35","150.95","150.50","150.70","151.05","177.15","135.25","535,692","80,915,105.70","3,852"
