"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","778.00","782.30","765.00","776.10","772.00","766.95","771.88","861.15","650.20","715,796","552,506,235.30","30,964"
"29-Dec-2022","EQ","779.00","779.00","763.10","780.15","776.05","776.10","769.32","861.15","650.20","1,691,955","1,301,654,896.95","49,574"
"28-Dec-2022","EQ","778.00","782.90","773.15","777.85","780.00","780.15","778.89","861.15","650.20","610,240","475,309,723.85","24,574"
"27-Dec-2022","EQ","778.80","781.00","770.60","775.30","777.70","777.85","775.42","861.15","650.20","601,101","466,104,451.10","28,453"
"26-Dec-2022","EQ","779.00","783.70","773.00","779.00","775.75","775.30","776.27","861.15","650.20","1,014,226","787,314,187.05","43,288"
"23-Dec-2022","EQ","793.05","797.90","775.80","798.65","780.15","779.00","784.37","861.15","650.20","1,216,647","954,295,402.45","51,177"
"22-Dec-2022","EQ","802.75","809.00","787.00","802.60","797.15","798.65","796.64","861.15","650.20","1,017,965","810,949,218.50","31,667"
"21-Dec-2022","EQ","809.00","811.90","801.00","808.30","802.60","802.60","806.27","861.15","650.20","811,513","654,302,487.90","30,312"
"20-Dec-2022","EQ","808.50","809.95","800.10","808.85","807.70","808.30","804.75","861.15","650.20","677,159","544,946,893.05","21,725"
"19-Dec-2022","EQ","801.15","810.00","798.45","801.55","807.05","808.85","804.69","861.15","650.20","1,120,217","901,431,575.30","38,718"
"16-Dec-2022","EQ","803.30","804.95","795.00","804.90","802.55","801.55","801.22","861.15","650.20","849,333","680,501,342.05","29,839"
"15-Dec-2022","EQ","815.40","815.45","802.05","815.45","803.00","804.90","806.90","861.15","650.20","783,051","631,845,876.55","32,265"
"14-Dec-2022","EQ","808.40","817.00","807.35","807.60","813.10","815.45","812.60","861.15","650.20","971,275","789,253,255.55","30,384"
"13-Dec-2022","EQ","812.00","814.45","804.70","810.05","806.80","807.60","810.09","861.15","650.20","1,224,742","992,157,231.80","36,060"
"12-Dec-2022","EQ","803.00","813.00","799.20","803.30","811.15","810.05","807.11","861.15","650.20","948,219","765,318,959.95","36,433"
"09-Dec-2022","EQ","804.20","809.90","801.00","804.20","802.00","803.30","805.93","861.15","650.20","1,080,966","871,185,473.70","33,000"
"08-Dec-2022","EQ","800.55","807.95","796.50","799.35","803.20","804.20","804.03","861.15","650.20","805,216","647,414,366.35","26,232"
"07-Dec-2022","EQ","799.90","806.50","797.05","797.65","799.00","799.35","801.39","861.15","650.20","2,020,441","1,619,166,079.60","38,629"
"06-Dec-2022","EQ","800.00","800.00","793.55","800.50","798.95","797.65","796.69","861.15","650.20","826,214","658,238,972.60","22,794"
"05-Dec-2022","EQ","795.55","803.00","788.60","795.55","799.00","800.50","796.84","861.15","650.20","1,540,201","1,227,298,316.65","36,748"
"02-Dec-2022","EQ","810.00","812.50","792.20","813.20","795.05","795.55","799.11","861.15","650.20","2,882,169","2,303,182,417.00","47,166"
"01-Dec-2022","EQ","821.90","821.90","810.15","818.05","811.05","813.20","813.90","861.15","650.20","966,282","786,455,913.95","29,759"
"30-Nov-2022","EQ","805.05","821.95","804.25","805.05","816.00","818.05","815.49","861.15","650.20","3,390,682","2,765,072,327.75","49,628"
